"Match #","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
"1","2","3","4","6",,,,,,,,,,,,,,,,,,,,,,
"2","1","3","7","13","17","21","23","25",,,,,,,,,,,,,,,,,,
"3","1","2","6","9","10","14","15","19",,,,,,,,,,,,,,,,,,
"4","1","6","7","8","10","13","16","17","21","23","25",,,,,,,,,,,,,,,
"5",,,,,,,,,,,,,,,,,,,,,,,,,,
"6","1","3","4","13","14","18","20","21",,,,,,,,,,,,,,,,,,
"7","2","4","10","15","17","19","21",,,,,,,,,,,,,,,,,,,
"8","4","9","13","17","18","21","25",,,,,,,,,,,,,,,,,,,
"9","3","8","10","12","16","18","24","25",,,,,,,,,,,,,,,,,,
"10","3","4","7","9","12","14","15","17","20","21","23",,,,,,,,,,,,,,,
"11",,,,,,,,,,,,,,,,,,,,,,,,,,
"12","9","10","14","15","16",,,,,,,,,,,,,,,,,,,,,
"13","2","4","6","8","17","19","21",,,,,,,,,,,,,,,,,,,
"14","3","6","10","12","15","20","25",,,,,,,,,,,,,,,,,,,
"15","3","7","10","12","14","22",,,,,,,,,,,,,,,,,,,,
"16","4","9","12","17",,,,,,,,,,,,,,,,,,,,,,
"17","2","4","7","8","10","13","16","19","20","22","24",,,,,,,,,,,,,,,
"18","6","8","9","24",,,,,,,,,,,,,,,,,,,,,,
"19","3","7","13","17","21",,,,,,,,,,,,,,,,,,,,,
"20","6","10","14","17","21","22","25",,,,,,,,,,,,,,,,,,,
"21","2","4","6","7","8","10","13","19","20",,,,,,,,,,,,,,,,,
"22","15","17","20","25",,,,,,,,,,,,,,,,,,,,,,
"23","2","4","10",,,,,,,,,,,,,,,,,,,,,,,
"24","9","17","18",,,,,,,,,,,,,,,,,,,,,,,
"25","2","4","8","9","14","20","22",,,,,,,,,,,,,,,,,,,
